#;Callsign;Departure_Time;Unnamed: 3;Destination Info;Origin Info;Origin;Dest;Routing;Aircraft Type;Cruise Speed (knots);Max Ceiling (FL);Default RFL;Time Duration;Schedule Arrival Time;path
1;MI320;05.00.00;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;07:00:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2;3K683;05.00.10;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;08:10:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
3;AK700;05.00.20;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;08:45:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
4;AK702;05.00.30;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;10:10:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
5;3K663;05.00.40;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;10:35:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
6;TR2454;05.00.50;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;10:45:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
7;MI326;05.01.00;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;11:15:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
8;AK704;05.01.10;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;11:30:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
9;AK706;05.01.20;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;12:40:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
10;MI328;05.01.30;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;13:45:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
11;3K685;05.01.40;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;13:50:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
12;AK710;05.01.50;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;14:30:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
13;AK712;05.02.00;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;15:10:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
