#;Callsign;Departure_Time;Unnamed: 3;Destination Info;Origin Info;Origin;Dest;Routing;Aircraft Type;Cruise Speed (knots);Max Ceiling (FL);Default RFL;Time Duration;Schedule Arrival Time;path
2521;MI322;12.00.00;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;08:10:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2522;MI324;12.00.10;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;10:20:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2523;MH604;12.00.20;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;10:50:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2524;MH614;12.00.30;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;12:05:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2525;MH628;12.00.40;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;13:15:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2526;MH606;12.00.50;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;14:40:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2527;OD802;12.01.00;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;15:20:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2528;MH624;12.01.10;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;16:35:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2529;MH620;12.01.20;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;17:35:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2530;MH608;12.01.30;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;19:05:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2531;MH616;12.01.40;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;20:15:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2532;MH610;12.01.50;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;22:15:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2533;OD806;12.02.00;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;22:30:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2534;WY824;12.02.10;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A330;470;410;FL240;01:00:00;08:30:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2535;OD804;12.02.20;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B739;460;410;FL240;01:00:00;13:20:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2536;MI340;12.02.30;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A319;450;390;FL260;01:00:00;17:10:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2537;OD808;12.02.40;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B739;460;410;FL240;01:00:00;18:45:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2538;MI320;12.02.50;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;07:00:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2539;3K683;12.03.00;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;08:10:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2540;AK700;12.03.10;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;08:45:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2541;AK702;12.03.20;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;10:10:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2542;3K663;12.03.30;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;10:35:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2543;TR2454;12.03.40;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;10:45:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2544;MI326;12.03.50;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;11:15:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2545;AK704;12.04.00;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;11:30:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2546;AK706;12.04.10;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;12:40:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2547;MI328;12.04.20;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;13:45:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2548;3K685;12.04.30;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;13:50:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2549;AK710;12.04.40;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;14:30:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2550;AK712;12.04.50;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;15:10:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2551;MI330;12.05.00;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;16:25:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2552;AK714;12.05.10;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;17:10:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2553;TR2464;12.05.20;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;17:35:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2554;AK716;12.05.30;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;20:10:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2555;TR2466;12.05.40;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;20:20:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2556;3K687;12.05.50;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;20:35:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2557;MI342;12.06.00;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;21:00:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2558;AK718;12.06.10;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;21:45:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2559;AK720;12.06.20;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A320;450;410;FL260;01:00:00;22:20:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2560;SQ106;12.06.30;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A330;470;410;FL200;01:00:00;09:30:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2561;SQ116;12.06.40;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A330;470;410;FL200;01:00:00;17:50:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2562;SQ118;12.06.50;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A330;470;410;FL200;01:00:00;19:45:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2563;MH602;12.07.00;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;07:40:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2564;MI322;12.07.10;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;08:10:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2565;MI324;12.07.20;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;10:20:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2566;MH604;12.07.30;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;10:50:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2567;MH614;12.07.40;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;12:05:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2568;MH628;12.07.50;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;13:15:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2569;MH606;12.08.00;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;14:40:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2570;OD802;12.08.10;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;15:20:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2571;MH624;12.08.20;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;16:35:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2572;MH620;12.08.30;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;17:35:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2573;MH608;12.08.40;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;19:05:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2574;MH616;12.08.50;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;20:15:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2575;MH610;12.09.00;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;22:15:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2576;OD806;12.09.10;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B738;460;410;FL240;01:00:00;22:30:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2577;WY824;12.09.20;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A330;470;410;FL240;01:00:00;08:30:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2578;OD804;12.09.30;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B739;460;410;FL240;01:00:00;13:20:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2579;MI340;12.09.40;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;A319;450;390;FL260;01:00:00;17:10:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
2580;OD808;12.09.50;;WMKK;WSSS;(SIN);(KUL);WSSS_WMKK;B739;460;410;FL240;01:00:00;18:45:00;[WSSS, VTK ,VJR,GUPTA,VKL,WMKK]
